Operator Prop #,Internal Prop #,Sales Date,Product Code,Decimal Interest,Interest Type,Avg Price,Property Gross Volume,Property Gross Revenue,Owner Volume,Owner Value,Owner Tax Amount,Tax Type,Owner Deduct Amount,Deduct Code,Owner Net Revenue
0315.001.01,,10/1/2022,GAS,0.053711,RO,4.84,79.16,383.51,0.43,0.43,-0.15,SEVERANCE,0,,1.91
0315.001.01,,10/1/2022,NGL,0.053711,RO,0.71,621.51,443.69,3.34,3.34,-0.15,SEVERANCE,-0.16,GATHERING,2.07
,4217300771,10/1/2022,GAS,0.053711,RO,4.84,312.88,1515.79,1.68,1.68,-0.61,SEVERANCE,0,,7.53
,4217300771,10/1/2022,NGL,0.053711,RO,0.71,2468.08,1761.94,13.26,13.26,-0.58,SEVERANCE,-0.65,TRANSPORTATION,8.23
0316.001.01,,10/1/2022,GAS,0.0625,RO,4.84,2390.81,11582.73,14.94,14.94,-5.44,SEVERANCE,0,,66.95
0316.001.01,,10/1/2022,NGL,0.0625,RO,0.8,23642.46,18833.04,147.77,147.77,-7.61,SEVERANCE,-6.01,TRANSPORTATION,104.09
0316.001.01,,10/1/2022,OIL,0.0625,RO,102.2,53.76,5494.25,0.34,0.34,-1.58,SEVERANCE,0,,32.76
0316.002.01,,10/1/2022,GAS,0.0625,RO,4.84,769.53,3728.14,4.81,4.81,-1.75,SEVERANCE,0,,21.55
0316.002.01,,10/1/2022,NGL,0.0625,RO,0.8,7612.16,6063.67,47.58,47.58,-2.45,SEVERANCE,-1.94,TRANSPORTATION,33.51
0316.002.01,,10/1/2022,OIL,0.0625,RO,102.2,122.34,12503.1,0.76,0.76,-3.6,SEVERANCE,0,,74.54
0335.005.01,,10/1/2022,GAS,0.0625,RO,4.85,40.87,198.02,0.26,0.26,-0.09,SEVERANCE,0,,1.15
0335.005.01,,10/1/2022,NGL,0.0625,RO,0.78,425.83,330.53,2.66,2.66,-0.13,SEVERANCE,-0.11,TRANSPORTATION,1.83
0335.005.01,,10/1/2022,OIL,0.0625,RO,102.2,92.78,9482.08,0.58,0.58,-2.73,SEVERANCE,0,,56.53
0335.006.01,,10/1/2022,GAS,0.0625,RO,4.84,28.19,136.57,0.18,0.18,-0.06,SEVERANCE,0,,0.79
0335.006.01,,10/1/2022,NGL,0.0625,RO,0.78,291.74,226.46,1.82,1.82,-0.09,SEVERANCE,-0.07,TRANSPORTATION,1.26
0335.006.01,,10/1/2022,OIL,0.0625,RO,102.2,78.97,8070.7,0.49,0.49,-2.32,SEVERANCE,0,,48.12
1559.001.01,,10/1/2022,GAS,0.0625,RO,4.84,219.15,1061.72,1.37,1.37,-0.5,SEVERANCE,0,,6.14
1559.001.01,,10/1/2022,NGL,0.0625,RO,0.83,2039.24,1692.43,12.75,12.75,-0.68,SEVERANCE,-0.54,TRANSPORTATION,9.36
